date time,wheel,vl,wheel,vr,sonar,X
2019-07-05 16:33:02.225510 ,Left,345 ,Right,195 ,s,88
2019-07-05 16:33:03.210884 ,Left,165 ,Right,135 ,s,68
2019-07-05 16:33:03.740375 ,Left,195 ,Right,315 ,s,55
2019-07-05 16:33:04.272135 ,Left,225 ,Right,765 ,s,49
2019-07-05 16:33:04.801236 ,Left,330 ,Right,135 ,s,38
2019-07-05 16:33:05.366604 ,Left,150 ,Right,150 ,s,120
2019-07-05 16:33:05.927665 ,Left,150 ,Right,465 ,s,104
2019-07-05 16:33:06.521189 ,Left,105 ,Right,195 ,s,89
2019-07-05 16:33:07.050982 ,Left,210 ,Right,180 ,s,76
2019-07-05 16:33:07.593250 ,Left,285 ,Right,645 ,s,64
2019-07-05 16:33:08.122063 ,Left,150 ,Right,165 ,s,56
2019-07-05 16:33:08.660222 ,Left,120 ,Right,405 ,s,49
2019-07-05 16:33:09.414024 ,Left,270 ,Right,645 ,s,210
2019-07-05 16:33:10.165201 ,Left,420 ,Right,810 ,s,75
2019-07-05 16:33:10.790577 ,Left,240 ,Right,510 ,s,58
2019-07-05 16:33:11.329655 ,Left,150 ,Right,90 ,s,149
2019-07-05 16:33:11.891980 ,Left,105 ,Right,450 ,s,136
2019-07-05 16:33:12.485173 ,Left,150 ,Right,600 ,s,62
2019-07-05 16:33:13.028807 ,Left,165 ,Right,90 ,s,111
2019-07-05 16:33:13.594048 ,Left,300 ,Right,720 ,s,97
2019-07-05 16:33:14.139354 ,Left,270 ,Right,135 ,s,87
2019-07-05 16:33:14.722259 ,Left,330 ,Right,225 ,s,79
2019-07-05 16:33:15.317453 ,Left,165 ,Right,885 ,s,108
2019-07-05 16:33:15.905618 ,Left,315 ,Right,135 ,s,99
2019-07-05 16:33:16.663183 ,Left,255 ,Right,135 ,s,87
2019-07-05 16:33:17.299528 ,Left,180 ,Right,150 ,s,82
2019-07-05 16:33:17.867191 ,Left,150 ,Right,285 ,s,109
2019-07-05 16:33:18.463005 ,Left,90 ,Right,90 ,s,84
2019-07-05 16:33:19.249119 ,Left,120 ,Right,90 ,s,68
2019-07-05 16:33:19.820561 ,Left,135 ,Right,540 ,s,162
2019-07-05 16:33:20.522312 ,Left,90 ,Right,495 ,s,269
2019-07-05 16:33:21.250106 ,Left,75 ,Right,105 ,s,255
2019-07-05 16:33:21.883861 ,Left,105 ,Right,105 ,s,239
2019-07-05 16:33:22.519130 ,Left,150 ,Right,540 ,s,227
2019-07-05 16:33:23.124801 ,Left,90 ,Right,540 ,s,216
2019-07-05 16:33:23.737658 ,Left,210 ,Right,135 ,s,196
2019-07-05 16:33:24.274870 ,Left,150 ,Right,375 ,s,119
2019-07-05 16:33:24.809928 ,Left,120 ,Right,300 ,s,104
2019-07-05 16:33:25.530966 ,Left,240 ,Right,270 ,s,88
2019-07-05 16:33:26.064503 ,Left,105 ,Right,90 ,s,79
2019-07-05 16:33:26.707158 ,Left,165 ,Right,285 ,s,67
2019-07-05 16:33:27.266603 ,Left,105 ,Right,105 ,s,51
2019-07-05 16:33:27.826506 ,Left,180 ,Right,555 ,s,39
2019-07-05 16:33:28.459616 ,Left,120 ,Right,585 ,s,24
2019-07-05 16:33:29.049831 ,Left,255 ,Right,195 ,s,28
2019-07-05 16:33:30.376604 ,Left,0 ,Right,105 ,s,400
2019-07-05 16:33:30.908883 ,Left,0 ,Right,75 ,s,98
2019-07-05 16:33:31.447530 ,Left,0 ,Right,120 ,s,28
2019-07-05 16:33:31.987447 ,Left,0 ,Right,165 ,s,118
2019-07-05 16:33:32.564093 ,Left,150 ,Right,450 ,s,245
2019-07-05 16:33:33.142692 ,Left,105 ,Right,135 ,s,95
2019-07-05 16:33:33.690680 ,Left,135 ,Right,495 ,s,186
2019-07-05 16:33:34.418534 ,Left,165 ,Right,315 ,s,172
2019-07-05 16:33:35.166671 ,Left,195 ,Right,435 ,s,400
2019-07-05 16:33:35.955880 ,Left,120 ,Right,210 ,s,400
2019-07-05 16:33:36.504277 ,Left,105 ,Right,75 ,s,71
2019-07-05 16:33:37.257712 ,Left,135 ,Right,75 ,s,400
2019-07-05 16:33:37.791192 ,Left,105 ,Right,360 ,s,124
2019-07-05 16:33:38.345197 ,Left,105 ,Right,450 ,s,117
2019-07-05 16:33:39.002884 ,Left,105 ,Right,75 ,s,153
2019-07-05 16:33:39.697532 ,Left,135 ,Right,90 ,s,124
2019-07-05 16:33:40.354138 ,Left,135 ,Right,150 ,s,125
2019-07-05 16:33:40.981208 ,Left,195 ,Right,300 ,s,97
2019-07-05 16:33:41.777197 ,Left,120 ,Right,105 ,s,191
2019-07-05 16:33:42.417392 ,Left,225 ,Right,165 ,s,20
2019-07-05 16:33:42.951259 ,Left,240 ,Right,705 ,s,17
2019-07-05 16:33:43.529222 ,Left,105 ,Right,165 ,s,23
2019-07-05 16:33:44.062859 ,Left,165 ,Right,165 ,s,108
2019-07-05 16:33:44.897636 ,Left,165 ,Right,180 ,s,133
2019-07-05 16:33:45.517606 ,Left,60 ,Right,180 ,s,289
2019-07-05 16:33:49.044796 ,Left,0 ,Right,15 ,s,116
2019-07-05 16:33:50.179202 ,Left,180 ,Right,345 ,s,77
2019-07-05 16:33:50.889121 ,Left,90 ,Right,240 ,s,62
2019-07-05 16:33:51.514831 ,Left,45 ,Right,150 ,s,49
2019-07-05 16:33:52.260441 ,Left,195 ,Right,165 ,s,35
2019-07-05 16:33:52.925083 ,Left,105 ,Right,630 ,s,133
2019-07-05 16:33:53.880951 ,Left,150 ,Right,300 ,s,400
2019-07-05 16:33:54.440332 ,Left,75 ,Right,150 ,s,130
2019-07-05 16:33:54.974623 ,Left,120 ,Right,105 ,s,120
2019-07-05 16:33:55.514740 ,Left,60 ,Right,315 ,s,199
2019-07-05 16:33:56.328448 ,Left,60 ,Right,240 ,s,96
2019-07-05 16:33:56.944102 ,Left,105 ,Right,90 ,s,114
2019-07-05 16:33:57.477618 ,Left,120 ,Right,330 ,s,115
2019-07-05 16:33:58.184285 ,Left,90 ,Right,285 ,s,103
2019-07-05 16:33:59.012541 ,Left,90 ,Right,330 ,s,400
2019-07-05 16:33:59.542406 ,Left,135 ,Right,60 ,s,77
2019-07-05 16:34:00.287218 ,Left,120 ,Right,465 ,s,400
2019-07-05 16:34:01.056618 ,Left,120 ,Right,360 ,s,400
2019-07-05 16:34:01.829046 ,Left,75 ,Right,240 ,s,400
2019-07-05 16:34:02.378390 ,Left,120 ,Right,60 ,s,332
2019-07-05 16:34:03.162918 ,Left,135 ,Right,120 ,s,400
2019-07-05 16:34:03.860022 ,Left,150 ,Right,345 ,s,400
2019-07-05 16:34:04.611992 ,Left,150 ,Right,450 ,s,400
2019-07-05 16:34:05.396754 ,Left,90 ,Right,150 ,s,400
2019-07-05 16:34:06.157351 ,Left,60 ,Right,90 ,s,400
2019-07-05 16:34:06.703421 ,Left,60 ,Right,405 ,s,331
2019-07-05 16:34:07.446706 ,Left,105 ,Right,300 ,s,400
2019-07-05 16:34:08.197816 ,Left,120 ,Right,315 ,s,400
2019-07-05 16:34:08.827393 ,Left,135 ,Right,75 ,s,400
2019-07-05 16:34:09.578209 ,Left,90 ,Right,135 ,s,400
2019-07-05 16:34:10.372066 ,Left,150 ,Right,105 ,s,400
2019-07-05 16:34:11.156824 ,Left,60 ,Right,225 ,s,400
2019-07-05 16:34:11.695400 ,Left,90 ,Right,240 ,s,145
2019-07-05 16:34:12.229070 ,Left,120 ,Right,75 ,s,116
2019-07-05 16:34:12.761800 ,Left,105 ,Right,315 ,s,122
2019-07-05 16:34:13.301549 ,Left,90 ,Right,90 ,s,107
2019-07-05 16:34:13.855628 ,Left,105 ,Right,210 ,s,243
2019-07-05 16:34:14.387764 ,Left,120 ,Right,60 ,s,89
2019-07-05 16:34:14.971378 ,Left,150 ,Right,75 ,s,74
2019-07-05 16:34:15.510926 ,Left,240 ,Right,150 ,s,71
2019-07-05 16:34:16.079468 ,Left,150 ,Right,90 ,s,36
2019-07-05 16:34:16.607640 ,Left,225 ,Right,465 ,s,26
2019-07-05 16:34:17.159425 ,Left,210 ,Right,750 ,s,16
2019-07-05 16:34:17.699312 ,Left,240 ,Right,105 ,s,68
